Source,Target,Weight,Type
300018,412326,0.8853755,Undirected
300018,412330,0.9565217,Undirected
300018,412378,0.9802371,Undirected
300018,412390,0.9367589,Undirected
300018,412391,0.7628459,Undirected
300018,412471,0.07509881,Undirected
300018,412490,0.9841897,Undirected
300018,412491,0.1541502,Undirected
300018,412492,0.1027668,Undirected
300018,412493,0.2964427,Undirected
300018,412494,0.2687747,Undirected
300018,412495,0.07509881,Undirected
300018,412496,0.1185771,Undirected
300018,412507,0.9762846,Undirected
300018,412542,0.9644269,Undirected
300018,412545,0.9209486,Undirected
300018,412554,0.8814229,Undirected
300018,412556,0.1976285,Undirected
300018,412573,0.06719368,Undirected
300018,412582,0.9288538,Undirected
300018,412586,0.5059289,Undirected
300018,412597,0.1027668,Undirected
300018,412598,0.2450593,Undirected
300019,300021,0.284585,Undirected
300019,300023,0.3162055,Undirected
300019,300025,0.6600791,Undirected
300019,300027,0.1541502,Undirected
300019,300030,0.1343874,Undirected
300019,300038,0.9565217,Undirected
300019,300041,0.1343874,Undirected
300019,300043,0.9565217,Undirected
300019,300047,0.3517787,Undirected
300019,300048,0.1897233,Undirected
300019,300051,0.9446641,Undirected
300019,300052,0.3241107,Undirected
300019,300055,0.1185771,Undirected
300019,300058,0.9486166,Undirected
300019,300060,0.01581028,Undirected
300019,300063,0.8814229,Undirected
300019,300064,0.1146245,Undirected
300019,300065,0.9328063,Undirected
300019,300066,0.9209486,Undirected
300019,300071,0.3833992,Undirected
300019,300072,0.1818182,Undirected
300019,300073,0.9288538,Undirected
300019,300075,0.5652174,Undirected
300019,300076,0.8932806,Undirected
300019,300078,0.9367589,Undirected
300019,300080,0.8379447,Undirected
300019,300081,0.9367589,Undirected
300019,300082,0.8774704,Undirected
300019,300083,0.1304348,Undirected
300019,300084,0.9169961,Undirected
300019,300087,0.9486166,Undirected
300019,300088,0.1620553,Undirected
300019,300089,0.1897233,Undirected
300019,300093,0.9446641,Undirected
300019,300100,0.9169961,Undirected
300019,400013,0.9525692,Undirected
300019,400034,0.284585,Undirected
300019,400040,0.2213439,Undirected
300019,400050,0.9486166,Undirected
300019,400054,0.2648221,Undirected
300019,400064,0.9525692,Undirected
300019,400134,0.3241107,Undirected
300019,400194,0.3083004,Undirected
300019,400222,0.3557312,Undirected
300019,400253,0.4031621,Undirected
300019,400272,0.9367589,Undirected
300019,400284,0.1976285,Undirected
300019,400325,0.3280632,Undirected
300019,400357,0.8972332,Undirected
300019,400408,0.2094862,Undirected
300019,400412,0.9249012,Undirected
300019,400413,0.9288538,Undirected
300019,400418,0.1343874,Undirected
300019,400432,0.3201581,Undirected
300019,400546,0.2332016,Undirected
300019,400576,0.1422925,Undirected
300019,402675,0.2252964,Undirected
300019,412194,0.9367589,Undirected
300019,412200,0.9367589,Undirected
300019,412205,0.8814229,Undirected
300019,412218,0.2173913,Undirected
300019,412223,0.9446641,Undirected
300019,412242,0.9446641,Undirected
300019,412243,0.8893281,Undirected
300019,412244,0.8774704,Undirected
300019,412246,0.9367589,Undirected
300019,412247,0.9249012,Undirected
300019,412248,0.3359684,Undirected
300019,412251,0.1383399,Undirected
300019,412281,0.9328063,Undirected
300019,412320,0.2687747,Undirected
300019,412321,0.9130435,Undirected
300019,412322,0.08695652,Undirected
300019,412323,0.9249012,Undirected
300019,412324,0.8774704,Undirected
300019,412325,0.8972332,Undirected
300019,412326,0.8656126,Undirected
300019,412330,0.9446641,Undirected
300019,412378,0.9604743,Undirected
300019,412390,0.9486166,Undirected
300019,412391,0.7786561,Undirected
300019,412471,0.1146245,Undirected
300019,412490,0.9486166,Undirected
300019,412491,0.1778656,Undirected
300019,412492,0.1264822,Undirected
300019,412493,0.3359684,Undirected
300019,412494,0.2924901,Undirected
300019,412495,0.09881423,Undirected
300019,412496,0.1581028,Undirected
300019,412507,0.9407114,Undirected
300019,412542,0.9367589,Undirected
300019,412545,0.9090909,Undirected
300019,412554,0.8774704,Undirected
300019,412556,0.229249,Undirected
300019,412573,0.1067194,Undirected
300019,412582,0.9486166,Undirected
300019,412586,0.4901186,Undirected
300019,412597,0.1106719,Undirected
300019,412598,0.2411067,Undirected
300021,300023,0.7905138,Undirected
300021,300025,0.5849802,Undirected
300021,300027,0.770751,Undirected
300021,300030,0.7233202,Undirected
300021,300038,0.2608696,Undirected
300021,300041,0.7786561,Undirected
300021,300043,0.2648221,Undirected
300021,300047,0.7114624,Undirected
300021,300048,0.7786561,Undirected
300021,300051,0.284585,Undirected
300021,300052,0.7272727,Undirected
300021,300055,0.6482214,Undirected
300021,300058,0.2766798,Undirected
300021,300060,0,Undirected
300021,300063,0.3201581,Undirected
300021,300064,0.01976285,Undirected
300021,300065,0.2687747,Undirected
300021,300066,0.2687747,Undirected
300021,300071,0.6877471,Undirected
300021,300072,0.7944664,Undirected
300021,300073,0.2608696,Undirected
300021,300075,0.5770751,Undirected
300021,300076,0.2490119,Undirected
300021,300078,0.2766798,Undirected
300021,300080,0.4110672,Undirected
300021,300081,0.2411067,Undirected
300021,300082,0.3003953,Undirected
300021,300083,0.7549407,Undirected
300021,300084,0.256917,Undirected
300021,300087,0.2608696,Undirected
300021,300088,0.7470356,Undirected
300021,300089,0.7272727,Undirected
300021,300093,0.2727273,Undirected
300021,300100,0.2608696,Undirected
300021,400013,0.256917,Undirected
300021,400034,0.7549407,Undirected
300021,400040,0.7944664,Undirected
300021,400050,0.2529644,Undirected
300021,400054,0.8063241,Undirected
300021,400064,0.2648221,Undirected
300021,400134,0.7075099,Undirected
300021,400194,0.8814229,Undirected
300021,400222,0.5770751,Undirected
300021,400253,0.1146245,Undirected
300021,400272,0.2450593,Undirected
300021,400284,0.770751,Undirected
300021,400325,0.8300395,Undirected
300021,400357,0.2648221,Undirected
300021,400408,0.7826087,Undirected
300021,400412,0.2924901,Undirected
300021,400413,0.256917,Undirected
300021,400418,0.6956522,Undirected
300021,400432,0.8142292,Undirected
300021,400546,0.8300395,Undirected
300021,400576,0.715415,Undirected
300021,402675,0.7905138,Undirected
300021,412194,0.256917,Undirected
300021,412200,0.2608696,Undirected
300021,412205,0.3754941,Undirected
300021,412218,0.6916996,Undirected
300021,412223,0.2648221,Undirected
300021,412242,0.284585,Undirected
300021,412243,0.3280632,Undirected
300021,412244,0.3043478,Undirected
300021,412246,0.2885376,Undirected
300021,412247,0.2450593,Undirected
300021,412248,0.798419,Undirected
